,Date,Country,AreaCode,Area,TotalCases
0,2020-03-01,Scotland,S08000015,Ayrshire and Arran,0
1,2020-03-01,Scotland,S08000016,Borders,0
2,2020-03-01,Scotland,S08000017,Dumfries and Galloway,0
3,2020-03-01,Scotland,S08000029,Fife,0
4,2020-03-01,Scotland,S08000019,Forth Valley,0
5,2020-03-01,Scotland,S08000020,Grampian,0
6,2020-03-01,Scotland,S08000031,Greater Glasgow and Clyde,0
7,2020-03-01,Scotland,S08000022,Highland,0
8,2020-03-01,Scotland,S08000032,Lanarkshire,0
9,2020-03-01,Scotland,S08000024,Lothian,0
10,2020-03-01,Scotland,S08000025,Orkney,0
11,2020-03-01,Scotland,S08000026,Shetland,0
12,2020-03-01,Scotland,S08000030,Tayside,0
13,2020-03-01,Scotland,S08000028,Western Isles,0
14,2020-03-02,Scotland,S08000015,Ayrshire and Arran,0
15,2020-03-02,Scotland,S08000016,Borders,0
16,2020-03-02,Scotland,S08000017,Dumfries and Galloway,0
17,2020-03-02,Scotland,S08000029,Fife,0
18,2020-03-02,Scotland,S08000019,Forth Valley,0
19,2020-03-02,Scotland,S08000020,Grampian,0
20,2020-03-02,Scotland,S08000031,Greater Glasgow and Clyde,0
21,2020-03-02,Scotland,S08000022,Highland,0
22,2020-03-02,Scotland,S08000032,Lanarkshire,0
23,2020-03-02,Scotland,S08000024,Lothian,0
24,2020-03-02,Scotland,S08000025,Orkney,0
25,2020-03-02,Scotland,S08000026,Shetland,0
26,2020-03-02,Scotland,S08000030,Tayside,1
27,2020-03-02,Scotland,S08000028,Western Isles,0
28,2020-03-03,Scotland,S08000015,Ayrshire and Arran,0
29,2020-03-03,Scotland,S08000016,Borders,0
30,2020-03-03,Scotland,S08000017,Dumfries and Galloway,0
31,2020-03-03,Scotland,S08000029,Fife,0
32,2020-03-03,Scotland,S08000019,Forth Valley,0
33,2020-03-03,Scotland,S08000020,Grampian,0
34,2020-03-03,Scotland,S08000031,Greater Glasgow and Clyde,0
35,2020-03-03,Scotland,S08000022,Highland,0
36,2020-03-03,Scotland,S08000032,Lanarkshire,0
37,2020-03-03,Scotland,S08000024,Lothian,0
38,2020-03-03,Scotland,S08000025,Orkney,0
39,2020-03-03,Scotland,S08000026,Shetland,0
40,2020-03-03,Scotland,S08000030,Tayside,1
41,2020-03-03,Scotland,S08000028,Western Isles,0
42,2020-03-04,Scotland,S08000015,Ayrshire and Arran,1
43,2020-03-04,Scotland,S08000016,Borders,0
44,2020-03-04,Scotland,S08000017,Dumfries and Galloway,0
45,2020-03-04,Scotland,S08000029,Fife,0
46,2020-03-04,Scotland,S08000019,Forth Valley,0
47,2020-03-04,Scotland,S08000020,Grampian,1
48,2020-03-04,Scotland,S08000031,Greater Glasgow and Clyde,0
49,2020-03-04,Scotland,S08000022,Highland,0
50,2020-03-04,Scotland,S08000032,Lanarkshire,0
51,2020-03-04,Scotland,S08000024,Lothian,0
52,2020-03-04,Scotland,S08000025,Orkney,0
53,2020-03-04,Scotland,S08000026,Shetland,0
54,2020-03-04,Scotland,S08000030,Tayside,1
55,2020-03-04,Scotland,S08000028,Western Isles,0
56,2020-03-05,England,E09000002,Barking and Dagenham,0
57,2020-03-05,England,E09000003,Barnet,1 to 4
58,2020-03-05,England,E08000016,Barnsley,1 to 4
59,2020-03-05,England,E06000022,Bath and North East Somerset,0
60,2020-03-05,England,E06000055,Bedford,0
61,2020-03-05,England,E09000004,Bexley,0
62,2020-03-05,England,E08000025,Birmingham,1 to 4
63,2020-03-05,England,E06000008,Blackburn with Darwen,0
64,2020-03-05,England,E06000009,Blackpool,0
65,2020-03-05,England,E08000001,Bolton,1 to 4
66,2020-03-05,England,,Bournemouth,0
67,2020-03-05,England,E06000036,Bracknell Forest,0
68,2020-03-05,England,E08000032,Bradford,1 to 4
69,2020-03-05,England,E09000005,Brent,0
70,2020-03-05,England,E06000043,Brighton and Hove,6
71,2020-03-05,England,E06000023,"Bristol, City of",0
72,2020-03-05,England,E09000006,Bromley,1 to 4
73,2020-03-05,England,E10000002,Buckinghamshire,0
74,2020-03-05,England,E08000002,Bury,1 to 4
75,2020-03-05,England,E08000033,Calderdale,0
76,2020-03-05,England,E10000003,Cambridgeshire,0
77,2020-03-05,England,E09000007,Camden,1 to 4
78,2020-03-05,England,E06000056,Central Bedfordshire,0
79,2020-03-05,England,E06000049,Cheshire East,0
80,2020-03-05,England,E06000050,Cheshire West and Chester,0
81,2020-03-05,England,E09000001,City of London,0
82,2020-03-05,England,E06000052,Cornwall,1 to 4
83,2020-03-05,England,E06000047,County Durham,0
84,2020-03-05,England,E08000026,Coventry,0
85,2020-03-05,England,E09000008,Croydon,0
86,2020-03-05,England,E10000006,Cumbria,0
87,2020-03-05,England,E06000005,Darlington,0
88,2020-03-05,England,E06000015,Derby,0
