Code,Name,Geog,Area,Population,PopDensity,MedAge
K02000001,UNITED KINGDOM,Country,242749,66435550,274,40.1
K03000001,GREAT BRITAIN,Country,228956,64553909,282,40.2
K04000001,ENGLAND AND WALES,Country,151045,59115809,391,40
E92000001,ENGLAND,Country,130309,55977178,430,39.9
E12000001,NORTH EAST,Region,8574,2657909,310,41.8
E06000047,County Durham,Unitary Authority,2226,526980,237,43.5
E06000005,Darlington,Unitary Authority,197,106566,540,43.1
E06000001,Hartlepool,Unitary Authority,94,93242,997,41.8
E06000002,Middlesbrough,Unitary Authority,54,140545,2608,36.2
E06000057,Northumberland,Unitary Authority,5014,320274,64,48
E06000003,Redcar and Cleveland,Unitary Authority,245,136718,558,45
E06000004,Stockton-on-Tees,Unitary Authority,205,197213,962,40.4
E11000007,Tyne and Wear (Met County),Metropolitan County,540,1136371,2105,39.7
E08000037,Gateshead,Metropolitan District,142,202508,1423,41.3
E08000021,Newcastle upon Tyne,Metropolitan District,113,300196,2646,32.4
E08000022,North Tyneside,Metropolitan District,82,205985,2502,43.4
E08000023,South Tyneside,Metropolitan District,64,150265,2334,43.5
E08000024,Sunderland,Metropolitan District,137,277417,2018,42.2
E12000002,NORTH WEST,Region,14107,7292093,517,40.3
E06000008,Blackburn with Darwen,Unitary Authority,137,148942,1087,36.3
E06000009,Blackpool,Unitary Authority,35,139305,3997,43.5
E06000049,Cheshire East,Unitary Authority,1166,380790,326,46.2
E06000050,Cheshire West and Chester,Unitary Authority,917,340502,371,44.4
E06000006,Halton,Unitary Authority,79,128432,1624,41
E06000007,Warrington,Unitary Authority,181,209547,1160,42.2
E10000006,Cumbria,County,6767,498888,74,47.6
E07000026,Allerdale,Non-metropolitan District,1242,97527,79,47.8
E07000027,Barrow-in-Furness,Non-metropolitan District,78,67137,861,44.9
E07000028,Carlisle,Non-metropolitan District,1039,108387,104,44.8
E07000029,Copeland,Non-metropolitan District,732,68424,94,46.7
E07000030,Eden,Non-metropolitan District,2142,52881,25,50.3
E07000031,South Lakeland,Non-metropolitan District,1534,104532,68,50.9
E11000001,Greater Manchester (Met County),Metropolitan County,1276,2812569,2204,37.1
E08000001,Bolton,Metropolitan District,140,285372,2041,38.8
E08000002,Bury,Metropolitan District,99,190108,1911,40.4
E08000003,Manchester,Metropolitan District,116,547627,4735,30
E08000004,Oldham,Metropolitan District,142,235623,1655,37.1
E08000005,Rochdale,Metropolitan District,158,220001,1391,38.1
E08000006,Salford,Metropolitan District,97,254408,2617,35
E08000007,Stockport,Metropolitan District,126,291775,2315,42.5
E08000008,Tameside,Metropolitan District,103,225197,2183,40.2
E08000009,Trafford,Metropolitan District,106,236370,2229,40.6
E08000010,Wigan,Metropolitan District,188,326088,1733,42.2
E10000017,Lancashire,County,2903,1210053,417,42.7
E07000117,Burnley,Non-metropolitan District,111,88527,800,39.9
E07000118,Chorley,Non-metropolitan District,203,116821,576,43.4
E07000119,Fylde,Non-metropolitan District,166,79770,481,50.1
E07000120,Hyndburn,Non-metropolitan District,73,80815,1107,39.7
E07000121,Lancaster,Non-metropolitan District,576,144246,250,39.7
E07000122,Pendle,Non-metropolitan District,169,91405,540,39.7
E07000123,Preston,Non-metropolitan District,142,141818,997,35.2
E07000124,Ribble Valley,Non-metropolitan District,583,60057,103,47.9
E07000125,Rossendale,Non-metropolitan District,138,70895,514,42.5
E07000126,South Ribble,Non-metropolitan District,113,110527,979,44.3
E07000127,West Lancashire,Non-metropolitan District,347,113949,329,44.4
E07000128,Wyre,Non-metropolitan District,282,111223,394,49.5
E11000002,Merseyside (Met County),Metropolitan County,647,1423065,2200,40.3
E08000011,Knowsley,Metropolitan District,87,149571,1729,39.6
E08000012,Liverpool,Metropolitan District,112,494814,4424,34.7
E08000014,Sefton,Metropolitan District,155,275396,1777,46.4
E08000013,St. Helens,Metropolitan District,136,180049,1320,43
E08000015,Wirral,Metropolitan District,157,323235,2058,44.3
E12000003,YORKSHIRE AND THE HUMBER,Region,15405,5479615,356,40
E06000011,East Riding of Yorkshire,Unitary Authority,2405,339614,141,48.8
E06000010,"Kingston upon Hull, City of",Unitary Authority,71,260645,3648,35.6
E06000012,North East Lincolnshire,Unitary Authority,192,159821,833,42.4
E06000013,North Lincolnshire,Unitary Authority,846,172005,203,44.1
E06000014,York,Unitary Authority,272,209893,772,37.6
E10000023,North Yorkshire,County,8038,614505,76,47.8
E07000163,Craven,Non-metropolitan District,1177,56832,48,50.1
E07000164,Hambleton,Non-metropolitan District,1311,91134,70,49.4
E07000165,Harrogate,Non-metropolitan District,1308,160533,123,47
E07000166,Richmondshire,Non-metropolitan District,1319,53244,40,43.9
E07000167,Ryedale,Non-metropolitan District,1507,54920,36,50
E07000168,Scarborough,Non-metropolitan District,816,108736,133,49.7
E07000169,Selby,Non-metropolitan District,599,89106,149,44.6
E11000003,South Yorkshire (Met County),Metropolitan County,1552,1402918,904,39
E08000016,Barnsley,Metropolitan District,329,245199,745,42.5
E08000017,Doncaster,Metropolitan District,568,310542,547,41.3
E08000018,Rotherham,Metropolitan District,287,264671,924,42.1
E08000019,Sheffield,Metropolitan District,368,582506,1583,35.4
E11000006,West Yorkshire (Met County),Metropolitan County,2029,2320214,1143,37.8
E08000032,Bradford,Metropolitan District,366,537173,1466,36.2
E08000033,Calderdale,Metropolitan District,364,210082,577,42.2
E08000034,Kirklees,Metropolitan District,409,438727,1074,39.4
E08000035,Leeds,Metropolitan District,552,789194,1430,35.4
E08000036,Wakefield,Metropolitan District,339,345038,1019,41.8
E12000004,EAST MIDLANDS,Region,15623,4804149,307,41.3
E06000015,Derby,Unitary Authority,78,257174,3296,36.9
E06000016,Leicester,Unitary Authority,73,355218,4843,31.6
E06000018,Nottingham,Unitary Authority,75,331069,4437,29.7
E06000017,Rutland,Unitary Authority,382,39697,104,47
E10000007,Derbyshire,County,2547,796142,313,45.5
E07000032,Amber Valley,Non-metropolitan District,265,126678,477,46
E07000033,Bolsover,Non-metropolitan District,160,79530,496,44
E07000034,Chesterfield,Non-metropolitan District,66,104628,1584,44.5
E07000035,Derbyshire Dales,Non-metropolitan District,792,71977,91,50.8
E07000036,Erewash,Non-metropolitan District,110,115490,1053,43.7
E07000037,High Peak,Non-metropolitan District,539,92221,171,45.9
E07000038,North East Derbyshire,Non-metropolitan District,276,101125,367,47.6
E07000039,South Derbyshire,Non-metropolitan District,338,104493,309,42.2
E10000018,Leicestershire,County,2083,698268,335,43.2
